sizes_2D,maurer_mean_2D,maurer_std_2D,felzenszwalb_mean_2D,felzenszwalb_std_2D,felzenszwalb_inplace_mean_2D,felzenszwalb_inplace_std_2D,felzenszwalb_threaded_mean_2D,felzenszwalb_threaded_std_2D,felzenszwalb_threaded_mean_2D_depth,felzenszwalb_threaded_std_2D_depth,felzenszwalb_threaded_mean_2D_nonthread,felzenszwalb_threaded_std_2D_nonthread,felzenszwalb_threaded_mean_2D_worksteal,felzenszwalb_threaded_std_2D_worksteal,felzenszwalb_gpu_mean_2D,felzenszwalb_gpu_std_2D,wenbo_inplace_mean_2D,wenbo_inplace_std_2D,wenbo_threaded_mean_2D,wenbo_threaded_std_2D,wenbo_threaded_mean_2D_depth,wenbo_threaded_std_2D_depth,wenbo_threaded_mean_2D_nonthread,wenbo_threaded_std_2D_nonthread,wenbo_threaded_mean_2D_worksteal,wenbo_threaded_std_2D_worksteal,wenbo_gpu_mean_2D,wenbo_gpu_std_2D
93636.0,1.200586758654079e6,4.0435045634026476e6,4.637145961002786e6,3.8713943919311976e6,3.548588256227758e6,1.3170064130952687e6,1.127123536087154e6,1.4842864803692312e6,766539.559758177,1.1914571346282198e6,2.8598681350114415e6,1.1001661752752964e6,958212.9722436392,1.194868335918497e6,2.574311472868217e6,1.344099620060967e6,890520.7752768846,595846.2827854841,379674.88,1.0504178900063296e6,441702.02,990667.6696304786,919359.3565088757,947637.5351621471,623781.6993464052,1.1190597409986656e6,22876.62,379418.87034686765
100489.0,1.2168102375704139e6,4.005703665751843e6,4.880784066471163e6,3.5359508812024253e6,3.8313109146810146e6,1.760763947448557e6,1.2026644010604965e6,1.6233647751743193e6,909794.5270890725,1.350865615568648e6,2.9618555555555555e6,555811.650583923,1.0643698802907225e6,1.0491886894823655e6,2.861973590333717e6,1.9783447091291256e6,952580.2636606802,567914.330646958,391054.39,770383.514557962,531672.8038897893,1.286578130810059e6,965634.1982958947,589274.8210570834,724506.3311451495,1.4467335947816386e6,24276.36,429203.5560132278
106929.0,1.271704042988741e6,4.0201275535608865e6,7.4807596096096095e6,5.047660004067916e6,5.615558445945946e6,1.7828081784747243e6,1.331134750066827e6,1.5519624026214033e6,3.0118986682808716e6,4.9055830719998395e6,4.726155293005671e6,736283.9066921724,1.710513024054983e6,1.393613747460597e6,2.996555213984328e6,706261.9839872258,1.0097249646250253e6,649740.2052855514,414451.92,1.0539943036836272e6,506045.7181042459,1.0829745318509534e6,1.0372124635871827e6,621470.7480964231,784628.5533596838,1.4098720387353338e6,25142.61,398027.41746755794
113569.0,1.249093110384712e6,3.6000723240049225e6,5.621658042744657e6,3.5995793462046003e6,4.335831423611111e6,1.299161195230373e6,1.2765750384812725e6,1.348046405116211e6,1.0306571131014372e6,1.523790100601648e6,3.3661851926977686e6,553754.8295000853,1.0738824100021557e6,958981.6821425315,3.302893253968254e6,3.0372625156340543e6,1.0751749676305568e6,601007.2663539799,446741.72,888684.7881373389,689390.716476164,2.06378466538619e6,1.0976621615672463e6,615372.5811200545,655364.367816092,1.1033520257562797e6,26205.15,432902.8717323471
120409.0,1.4447276418082349e6,3.9859516031475253e6,5.959639523809524e6,4.0602271068176227e6,4.5216635869565215e6,1.2604127580188906e6,1.439528021978022e6,1.7379244338894438e6,1.6812480918608578e6,3.754557447225635e6,3.5837913323782235e6,609054.8680105917,1.1492460614460614e6,965798.5004297644,3.2398902994791665e6,1.2933249376707126e6,1.6234510596674276e6,987097.6141849236,598445.4279800317,960528.3274632406,1.3113448294102089e6,2.931819037845784e6,1.249991987981973e6,755054.1609655488,1.3422432316746924e6,1.7986969690080953e6,25818.86,330263.385386078
127449.0,1.4357415197919677e6,3.354962142344905e6,6.328887452471483e6,3.899887240180681e6,4.920229249011857e6,1.5321882198937687e6,1.539463258983891e6,1.6024553918658388e6,1.1946877413127413e6,1.2747172808362555e6,3.789702124430956e6,528194.2688487694,1.2936366614664586e6,1.3584807262611706e6,3.2964278145695366e6,1.4232774531654248e6,1.360653781053781e6,812615.916588682,500861.05369807495,948654.0738647958,615652.6381439441,1.342318679222694e6,1.2260866060457116e6,642016.984852996,727556.3122437024,1.2017389195653105e6,28555.5,429743.857575722
134689.0,1.523969591527988e6,4.167768016303467e6,6.7897206241519675e6,4.677236929108283e6,5.234122327044025e6,2.29674049882542e6,1.6743281605351171e6,2.7117074198709624e6,1.3033333684210526e6,2.28499954696866e6,4.0434814574898784e6,668004.5660014955,1.3503241594360087e6,1.485530575939941e6,3.429482494831151e6,1.398278565881528e6,1.3107644719515408e6,794986.3005555092,488157.73,935057.023316724,596796.5659008464,1.1709616804680233e6,1.2921434816347647e6,739027.2262919061,895832.3068611561,1.3187922401394558e6,29603.04,436752.0268940466
142884.0,1.665569400736525e6,4.2383930251168795e6,7.229597113997114e6,4.878810732190868e6,5.513874917127072e6,2.505205010860137e6,1.7279657410621312e6,2.816404028389393e6,1.2741354027706515e6,1.5208119820867784e6,4.283854858125538e6,808504.4323475845,1.4244880503144653e6,1.1703722028825267e6,3.5209787279151944e6,1.0778020573510076e6,1.379152743902439e6,817602.7762670505,519587.29908603843,1.0162099426790479e6,653473.850422833,1.4310725670341626e6,1.4215185005701254e6,859902.6486482967,857263.1833074668,1.2178632379423524e6,30994.17,510416.589180311
150544.0,1.6427475149105368e6,4.1304534572764128e6,7.442240089418778e6,4.846566886011631e6,5.753994706559263e6,2.562704788853109e6,1.8771371838429596e6,2.887233469097766e6,1.3801460533629793e6,1.6566357023606917e6,6.327997718631179e6,736146.7430508903,2.2548246035342095e6,1.4764736121782744e6,4.703037452830189e6,5.896375176666316e6,1.4726774136403897e6,702642.797308149,544102.1547933158,939926.3616552914,664304.8790322581,1.3745756479427798e6,1.449567199302731e6,737757.5916253346,832087.1945095414,1.1079082167703572e6,32131.8,476894.8511366674
158404.0,2.0169802679658954e6,4.660372031200534e6,1.0955105054945055e7,6.494919909623162e6,8.613073103448275e6,3.3182796356933243e6,2.0455133031301482e6,3.185173469085567e6,1.3643563736263737e6,2.4562065588112012e6,4.858326653696498e6,770680.7152375325,1.41541031543052e6,1.5218697383235903e6,3.679438966789668e6,1.3470101104221283e6,1.5140739605462824e6,761867.143761772,559771.903630811,906847.8283074729,723327.7436347674,1.3906131222856129e6,1.5407421995675007e6,658858.7054475232,940059.1416146719,1.306634227654804e6,38643.99,839451.8347136779
